Item Name,UOM,Item group
1 Motor Control Colling Cup Holder,Nos,Raw Material
100/25-Staples,Nos,Raw Material
100/50 Stapler Pin,Box,Raw Material
100/50-Staples,Nos,Raw Material
10Mm-Tnut,Nos,Raw Material
10X20Mm- D.Nut,Nos,Raw Material
12Mm Plywood,Nos,Raw Material
1320-Sofa Arm Turn Fitting,Nos,Raw Material
1356-Sledge Side Headrest,Nos,Raw Material
16Push To Open Drawer,Set,Raw Material
18/10-Threads,Nos,Raw Material
18Mm Plywood,Nos,Raw Material
2-Elastic,Nos,Raw Material
20Mm White Nail Bush,Nos,Raw Material
2Cotton Tape,Nos,Raw Material
3 Bold,Nos,Raw Material
3 Heavy Elastic,Nos,Raw Material
3Elastic,Nos,Raw Material
568D Wood To Floor Single Flip,Pcs,Raw Material
5810D Dual Flip Recliner,Pcs,Raw Material
5810D-Okinwood To Floor Dual Flip 28,Nos,Raw Material
5Mm Rope=Piping Dori,Kgs,Raw Material
6 Inch Magnum Leg Titanium-Royalton Leg,Nos,Raw Material
60 Mtr Imp Patten Roll,Roll,Raw Material
6Mm-T.Nut,Nos,Raw Material
6X13Mm -D.Nut,Nos,Raw Material
769-Push Cup Holder Black,Nos,Raw Material
793-Wood To Floor Recliner P03(Dismantle),Nos,Raw Material
80/08 Blstaples,Nos,Raw Material
80/08 Blstaples Black,Nos,Raw Material
80/09 Bl Staples,Nos,Raw Material
80/12 Bl Staples,Nos,Raw Material
806-Motorised Recliner R (Dismantle),Nos,Raw Material
877-6 Inch Megnum Leg Gold,Nos,Raw Material
8Mm Hot Board,Nos,Raw Material
8Mm-T.Nut,Nos,Raw Material
8X20Mm- D.Nut,Nos,Raw Material
908Rrr Recliner,Nos,Raw Material
923-Zig Zag Spring,Nos,Raw Material
925-Décor Nail Bronz Cl,Nos,Raw Material
926-Décor Nail Gold Cl,Nos,Raw Material
927-Décor Nail Silver Cl,Nos,Raw Material
929-Fabric Button No36,Nos,Raw Material
9713D Motorised Recliner (Matel To Floor),Pcs,Raw Material
9713D-Okin Matel To Floor,Nos,Raw Material
Adhesive,Ltr,Raw Material
Adhesive Can,Nos,Raw Material
B008-15Cm-Glassy Black,Nos,Raw Material
Back Rest 11,Nos,Raw Material
Back Rest 9,Nos,Raw Material
Bed-Sokets Ss Set Of-4,Nos,Raw Material
Big Size Scissor,Nos,Raw Material
Binding Wire,Roll,Raw Material
Bouble Raping Roll,Nos,Raw Material
Bush-1,Nos,Raw Material
Bush-1 Long,Nos,Raw Material
Bush-1-1/2,Nos,Raw Material
Bush-1.5 Long,Nos,Raw Material
Bush-2,Nos,Raw Material
Bush-2Long,Nos,Raw Material
Bush-3,Nos,Raw Material
Bush-3 Long,Nos,Raw Material
Bush-4 Long,Nos,Raw Material
Bush-5,Nos,Raw Material
Bush-6,Nos,Raw Material
Bush-6 Long,Nos,Raw Material
Bush-7,Nos,Raw Material
Bush-7 Long,Nos,Raw Material
C-Bed Clamph-111(Kf),Nos,Raw Material
C-H42 Recliner Accessories,Nos,Raw Material
C-Headrest Straight (Kf),Nos,Raw Material
C-Jyf-301 Sofa Combed Mechanism(Cbm-20)Kf,Nos,Raw Material
C-Sofa Headrest Spring Kf,Set,Raw Material
C-Sofa Leg F007 15 Cm(Gold)Kh,Nos,Raw Material
C-Sofa Rotater-545 Black(Kf),Nos,Raw Material
Chiller Cup Holder(Mat Finish),Nos,Raw Material
Cooling Cup Holder,Pcs,Raw Material
Cora-Black,Mtr,Raw Material
Cora-Black Cora,Mtr,Raw Material
Cora-White,Mtr,Raw Material
Cora-White Cora,Mtr,Raw Material
Cotton Tape2,Kgs,Raw Material
Cupholder Pop-Up Black,Nos,Raw Material
Décor Nail Gold,Nos,Raw Material
F32-Staples,Nos,Raw Material
Gold Button,Nos,Raw Material
Headrest Rachet Lh&Rh,Nos,Raw Material
Hr90O-190O-Modern Sofa Hedrest,Nos,Raw Material
Ht Hex Bolt 6X20,Nos,Raw Material
Ht Hex Bolt 6X25,Nos,Raw Material
Ht Hex Bolt 6X40,Nos,Raw Material
Ht Hex Bolt 6X50,Nos,Raw Material
Ht Hex Bolt 6X60,Nos,Raw Material
I-Hitesh0 Hinges Fast Mover,Nos,Raw Material
Jigsaw Blade Set G/B 144,Nos,Raw Material
L618 Leg,Nos,Raw Material
L618 Leg Gold,Nos,Raw Material
Leg=L618 15Cm,Pcs,Raw Material
M-66 Clamp,Nos,Raw Material
Meite Frame Gun N851H,Nos,Raw Material
Moveable Clamp-35Cm,Nos,Raw Material
Moveable Clamp-50Cm,Nos,Raw Material
Ms Washer 10Mm,Nos,Raw Material
Ms Washer 6Mm,Nos,Raw Material
Ms Washer 8Mm,Nos,Raw Material
N21-Stables,Nos,Raw Material
Nail 1,Nos,Raw Material
Natuzzi Recliner,Nos,Raw Material
No-3 And Malti Color,Nos,Raw Material
No-5 Zip,Nos,Raw Material
Okin Wood To Floor 568D(Machanisum),Nos,Raw Material
Okinwood To Floor 568D Recliner,Nos,Raw Material
Packing Tape,Nos,Raw Material
Paint&Polish,Nos,Raw Material
Patten Sheet Roll,Roll,Raw Material
Pautiya Fitting (Bed And Sapce ),Set,Raw Material
Piping Rope 5Mm,Kgs,Raw Material
Polyester Poly Wadding 180 Gsm,Mtr,Raw Material
Polyester Polywading 180Gsm 60,Mtr,Raw Material
Polyester Staple Fibre,Kgs,Raw Material
Push Cup Holder Black,Nos,Raw Material
Recliner Swivel Base,Pcs,Raw Material
Recron,Kgs,Raw Material
Royaltan Leg,Nos,Raw Material
Royaltan Leg Gold,Nos,Raw Material
Royalton Leg,Nos,Raw Material
Scb-609-Sofa Bed Adjestable 3 Position Angle,Nos,Raw Material
Sky Ht S4S Lumber Pine Wood-38X140X2440Mm,Nos,Raw Material
Sledge Side Heardrest,Nos,Raw Material
Small Size Scissor,Nos,Raw Material
Sofa Connector,Nos,Raw Material
Sofa Hadrest Double Patti,Set,Raw Material
Sofa Joint Clamph-12Mm&W-4Mm,Nos,Raw Material
Ss Allen Button Head Bolt 06X25,Nos,Raw Material
Ss Allen Button Head Bolt 08X25,Nos,Raw Material
Ss Allen Button Head Bolt 08X40,Nos,Raw Material
Ss Allen Button Head Bolt 08X50,Nos,Raw Material
Ss Allen Button Head Bolt 10X25,Nos,Raw Material
Ss Allen Button Head Bolt 10X40,Nos,Raw Material
Ss Allen Button Head Bolt 10X50,Nos,Raw Material
Ss Allen Csk Bolt 08X25,Nos,Raw Material
Ss Allen Csk Bolt 08X40,Nos,Raw Material
Ss Allen Csk Bolt 08X50,Nos,Raw Material
Ss Allen Csk Bolt 10X25,Nos,Raw Material
Ss Allen Csk Bolt 10X40,Nos,Raw Material
Ss Allen Csk Bolt 10X50,Nos,Raw Material
Star Wood Screw Csk-10X100,Nos,Raw Material
Star Wood Screw Csk-10X25,Nos,Raw Material
Star Wood Screw Csk-10X30,Nos,Raw Material
Star Wood Screw Csk-10X38,Nos,Raw Material
Star Wood Screw Csk-10X50,Nos,Raw Material
Star Wood Screw Csk-10X60,Nos,Raw Material
Star Wood Screw Csk-10X75,Nos,Raw Material
Stationary-10Rs Pen Blue,Nos,Raw Material
Stationary-10Rs Pen Red,Nos,Raw Material
Stationary-2 Rs Pen,Nos,Raw Material
Stationary-4 Mm Drill Bit,Nos,Raw Material
Stationary-4Wood Cutter Weel Blade,Nos,Raw Material
Stationary-5 Mm Drill Bit,Nos,Raw Material
Stationary-6 Mm Drill Bit,Nos,Raw Material
Stationary-Big Star Bit,Nos,Raw Material
Stationary-Black Pencil,Nos,Raw Material
Stationary-Black Spray,Nos,Raw Material
Stationary-Board Marker,Nos,Raw Material
Stationary-Eraser,Nos,Raw Material
Stationary-Flex Kwik,Nos,Raw Material
Stationary-Green,Nos,Raw Material
Stationary-Hammer,Nos,Raw Material
Stationary-Hinges Bit35 Mm,Nos,Raw Material
Stationary-Instulation Tape,Nos,Raw Material
Stationary-Knife Big,Nos,Raw Material
Stationary-Knife Blade Box,Box,Raw Material
Stationary-Knife Blade Small,Box,Raw Material
Stationary-Knife Small,Nos,Raw Material
Stationary-Permanent Marker,Nos,Raw Material
Stationary-Punching Machine Small,Nos,Raw Material
Stationary-Sharpner,Nos,Raw Material
Stationary-Silver Refill,Nos,Raw Material
Stationary-Small Star Bit,Nos,Raw Material
Stationary-Stapler Machine Small,Nos,Raw Material
Stationary-Talier Inch Tape,Nos,Raw Material
Stationary-Tester,Nos,Raw Material
Stationary-Thread Cutter,Nos,Raw Material
Stationary-White Pencil,Nos,Raw Material
Stationary-Whitner,Nos,Raw Material
Stationary-Yellow Pencil,Nos,Raw Material
Stationaty-Grinding Paper,Bundal,Raw Material
Stretch Roll,Nos,Raw Material
Touch Sensor Switch,Nos,Raw Material
Velcro-Malti,Nos,Raw Material
White Big Rope,Nos,Raw Material
White Pine Wood-3Ht-25X98Mm,Nos,Raw Material
Wire Less Charger,Nos,Raw Material
Wire Nail 1.5,Nos,Raw Material
Wire Nail 2,Nos,Raw Material
Wire Nail 3,Nos,Raw Material
Wireless Charger,Nos,Raw Material
Wood Trey,Nos,Raw Material
Ww Bold 4,Nos,Raw Material
Ww Bold 8X4,Nos,Raw Material
Ww Bold 8X5,Nos,Raw Material
Ww Bolt 8X6,Nos,Raw Material
Yp Nut M08,Nos,Raw Material
Yp Nut M10,Nos,Raw Material
Zig Zag Clamp 4 Hole,Nos,Raw Material
Zig Zag Spring,Nos,Raw Material
Zip Loose No=5,Nos,Raw Material
Zip Loose Rolls Col:Black,Roll,Raw Material
Zip Runner #5-Silver Color,Nos,Raw Material
Zipperno=5,Roll,Raw Material